ano,numCpfCnpj,txtRazaoSocial,qtd_empenhos,valTotalEmpenhado,valEmpenhadoLiquido,valLiquidado,valPagoExercicio
2019,43677822000114,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,3,19798720.42,17382545.36,16619258.13,14935364.04
2019,66806555000133,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,2,15765432.47,13338321.21,11289353.77,5395040.21
2019,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,2,8367861.89,6473540.78,4356915.96,4356915.96
2019,47218979000132,ARVEK TECNICA E CONSTRUCOES LTDA,1,8481619.91,4624394.24,3171305.12,1025973.87
2019,09052229000144,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,1,7751056.02,3262059.17,1732474.77,230987.29
2019,60862331000162,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,3,13555844.27,1205902.84,0.0,0.0
2019,01065014000156,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,2,8936813.04,497372.04,384341.59,384341.59
2020,60498417000158,SAO PAULO TRANSPORTE SA,3,35385181.0,25650736.88,14322495.75,14322495.75
2020,66806555000133,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,9,32298544.65,24912591.42,23159584.87,23157248.86
2020,47902648000117,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,3,71508585.53,19172425.59,19172425.59,14368396.59
2020,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,9,28428275.32,18718337.13,14091795.85,14091795.85
2020,43677822000114,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,12,27232252.49,13168536.44,10399831.02,10399831.02
2020,01065014000156,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,9,17527225.16,11330278.35,3097880.61,3092883.66
2020,09052229000144,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,3,10303859.2,9750606.52,9739384.55,9739384.55
2020,03101876000112,DB CONSTRUCOES LTDA,5,16405447.23,6335047.77,5631647.86,5631647.86
2020,07667763000130,BELLACON CONSTRUTORA E INCORPORADORA LTDA,2,4929711.86,4928162.06,0.0,0.0
2020,33113646000134,HABITA LOTE 12 SA,2,13283582.16,4788546.03,0.0,0.0
2020,47218979000132,ARVEK TECNICA E CONSTRUCOES LTDA,3,5381163.95,3407422.02,2632637.59,2632637.59
2020,01454603000126,JRA  EMPREENDIMENTOS E ENGENHARIA LTDA,1,4797604.37,2921114.96,2835001.33,2835001.33
2020,02120261000170,SHOP SIGNS OBRAS E SERVICOS LTDA,2,7647491.79,2611067.53,0.0,0.0
2020,57085201000156,J L ENGENHARIA E CONSTRUCAO LTDA,1,4338411.88,2389361.48,2367901.65,2367901.65
2020,07879965000145,CONSTRUTORA LETTIERI CORDARO LTDA,2,6007628.01,2095945.89,1939491.82,1939491.82
2020,56838949000110,CONSTRUTORA PROGREDIOR LTDA,1,1499666.63,1282477.72,1282477.72,1282477.72
2020,03643992000163,BB ENGENHARIA E CONSTRUCOES S A,4,6379590.75,1169280.49,295509.12,295509.12
2020,11958828000173,SAO PAULO OBRAS  SP OBRAS,2,2888873.17,765894.31,0.0,0.0
2020,53640280000169,ENGENHARIA E COMERCIO RIGEL LTDA,1,2522717.85,759927.79,0.0,0.0
2020,42161372000140,ECR ENGENHARIA LTDA,1,593075.82,488329.4,0.0,0.0
2020,60862331000162,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,3,569930.8,276179.63,276179.63,276179.63
2020,44239135000503,EGIS  ENGENHARIA E CONSULTORIA LTDA,1,316694.17,153522.47,0.0,0.0
2020,09008769000120,ENGETI  CONSULTORIA E ENGENHARIA SS LTDA,1,234078.3,113473.11,0.0,0.0
2020,55194369000174,ALPHAGEOS TECNOLOGIA APLICADA SA,1,137693.12,66749.04,0.0,0.0
2020,33177148000155,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,2,1010163.86,0.0,0.0,0.0
2020,00376282000126,EGT ENGENHARIA LTDA,1,252540.96,0.0,0.0,0.0
2021,47902648000117,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,1,21564145.43,21564145.43,21564145.43,21564145.43
2021,43677822000114,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,5,13238045.15,13237979.3,13237979.3,13237979.3
2021,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,8,11468166.79,9723170.21,9723170.21,9723170.21
