ano,txDescricaoElemento,qtd_empenhos,valTotalEmpenhado,valEmpenhadoLiquido,valLiquidado,valPagoExercicio
2019,Manutenção e Conservação de Bens Imóveis,14,82657348.02,46784135.64,37553649.34,26328622.96
2020,Manutenção e Conservação de Bens Imóveis,67,176269521.94,106056337.2,77749323.62,77741990.66
2020,Obras em Andamento - Uso Comum do Povo,5,48668763.16,30439282.91,14322495.75,14322495.75
2020,Outros Serviços de Terceiros - Pessoa Jurídica,3,71508585.53,19172425.59,19172425.59,14368396.59
2020,Serviços Técnicos Profissionais,9,5433119.4,1587968.33,0.0,0.0
2021,Manutenção e Conservação de Bens Imóveis,29,52200512.19,48127904.03,47886703.22,47886703.22
2021,Outros Serviços de Terceiros - Pessoa Jurídica,1,21564145.43,21564145.43,21564145.43,21564145.43
2021,Obras em Andamento - Uso Comum do Povo,5,18229453.17,17690872.21,17690872.21,17690872.21
2022,Obras em Andamento - Uso Comum do Povo,38,96922027.79,29582979.87,11310686.25,9592423.57
2022,Instalações,15,22848519.99,16171127.23,14471884.97,14469749.99
2022,Manutenção e Conservação de Bens Imóveis,15,3892393.11,1458467.06,1458467.06,1458467.06
2022,FMH,1,703727.58,332918.35,332918.35,332918.35
2023,Manutenção e Conservação de Bens Imóveis,243,841406455.92,472329182.18,410399783.29,397300499.33
2023,Obras em Andamento - Uso Comum do Povo,155,366468011.68,206756608.88,146200804.5,144487746.69
2023,Edifícios ,1,100000000.0,100000000.0,100000000.0,100000000.0
2023,Serviços de Assistência à Saúde,54,14838608.93,14604243.74,14604243.74,11245867.3
2023,Serviços Técnicos Profissionais,1,3144985.84,3144985.84,2274214.32,2274214.32
2023,"Apar. Equip. Utens. Méd., Odont., Laboratoriais e Hospitalares",1,1696000.0,1696000.0,0.0,0.0
2023,Obras em Andamento - Uso Específico na Administração,1,1900000.0,0.0,0.0,0.0
2024,Obras em Andamento - Uso Comum do Povo,324,329823560.73,277499651.14,225702930.33,202431205.7
2024,Manutenção e Conservação de Bens Imóveis,58,83845973.98,64866910.8,63346598.63,63346598.63
2024,Serviços Técnicos Profissionais,21,18496892.45,9793845.56,9793845.46,7959087.72
2024,Outros Serviços de Terceiros - Pessoa Jurídica,5,5655344.91,5250444.42,4002176.96,4002176.96
2024,Serviços de Assistência à Saúde,7,4073212.56,4073212.56,4073212.56,4073212.56
2024,Obras em Andamento - Uso Específico na Administração,2,2660182.55,2660182.55,2660182.55,2660182.55
2025,Obras em Andamento - Uso Comum do Povo,422,515317983.72,458857043.17,191425159.63,190337364.7
2025,Serviços Técnicos Profissionais,10,3711889.85,3692803.11,3299685.26,3299685.26
2025,Outros Serviços de Terceiros - Pessoa Jurídica,4,1182330.39,1172665.09,1163243.66,1163243.66
2026,Obras em Andamento - Uso Comum do Povo,108,77574057.24,77039980.29,22745618.32,20149242.82
2026,Outros Serviços de Terceiros - Pessoa Jurídica,8,12236408.23,12189455.23,4250697.95,4250697.95
