ano,txDescricaoFonteRecurso,qtd_empenhos,valTotalEmpenhado,valEmpenhadoLiquido,valLiquidado,valPagoExercicio
2019,Tesouro Municipal - Recursos Vinculados,14,82657348.02,46784135.64,37553649.34,26328622.96
2020,Tesouro Municipal - Recursos Vinculados,84,301879990.03,157256014.03,111244244.96,106432883.0
2021,Tesouro Municipal - Recursos Vinculados,31,80878223.79,76648235.36,76648235.36,76648235.36
2021,Alienação de Bens/Ativos,4,11115887.0,10734686.31,10493485.5,10493485.5
2022,Tesouro Municipal - Recursos Vinculados,69,124366668.47,47545492.51,27573956.63,25853558.97
2023,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,440,1307115157.7,787952519.95,662900545.16,644729826.95
2023,Recursos de Alienação de Bens/Ativos - Administração Direta,16,22338904.67,10578500.69,10578500.69,10578500.69
2024,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,417,444555167.18,364144247.03,309578946.49,284472464.12
2025,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,436,520212203.96,463722511.37,195888088.55,194800293.62
2026,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,106,82964444.71,82430367.76,25393486.9,23427213.14
2026,Recursos de Alienação de Bens/Ativos - Administração Direta,10,6846020.76,6799067.76,1602829.37,972727.63
