ano,txDescricaoFuncao,qtd_empenhos,valTotalEmpenhado,valEmpenhadoLiquido,valLiquidado,valPagoExercicio
2019,Transporte,14,82657348.02,46784135.64,37553649.34,26328622.96
2020,Urbanismo,81,252001227.97,140743798.1,99520575.06,97917357.3
2020,Transporte,3,49878762.06,16512215.93,11723669.9,8515525.7
2021,Transporte,11,52337699.95,50236190.55,50236190.55,50236190.55
2021,Urbanismo,24,39656410.84,37146731.12,36905530.31,36905530.31
2022,Urbanismo,24,32835627.4,22298696.17,5974142.42,4255879.74
2022,Habitação,16,23552247.57,16504045.58,14804803.32,14802668.34
2022,Saúde,19,65189232.69,8387116.0,6439376.13,6439376.13
2022,Assistência Social,10,2789560.81,355634.76,355634.76,355634.76
2023,Urbanismo,295,1060715587.57,640062993.08,535729704.69,522808755.38
2023,Habitação,17,122338904.67,110578500.69,110578500.69,110578500.69
2023,Saúde,144,146399570.13,47889526.87,27170840.47,21921071.57
2024,Saúde,355,339698199.94,278642799.7,225924651.44,200832237.93
2024,Urbanismo,31,79911441.29,61999910.98,61984307.25,61984307.25
2024,Habitação,31,24945525.95,23501536.35,21669987.8,21655918.94
2025,Saúde,420,483486040.33,444988794.94,187313615.17,186225820.24
2025,Habitação,16,36726163.63,18733716.43,8574473.38,8574473.38
2026,Saúde,116,89810465.47,89229435.52,26996316.27,24399940.77
