ano;txDescricaoPrograma;qtd_empenhos;valTotalEmpenhado;valEmpenhadoLiquido;valLiquidado;valPagoExercicio
2019;Melhoria da mobilidade urbana universal;14;R$ 82,657,348.02;R$ 46,784,135.64;R$ 37,553,649.34;R$ 26,328,622.96
2020;Requalificação e promoção da ocupação dos espaços públicos;49;R$ 132,877,199.56;R$ 85,084,890.66;R$ 66,918,233.27;R$ 66,591,678.83
2020;Melhoria da mobilidade urbana universal;22;R$ 131,525,052.49;R$ 55,844,737.91;R$ 29,973,982.19;R$ 25,489,174.67
2020;Direitos da pessoa com deficiência;13;R$ 37,477,737.98;R$ 16,326,385.46;R$ 14,352,029.50;R$ 14,352,029.50
2021;Melhoria da mobilidade urbana universal;11;R$ 52,337,699.95;R$ 50,236,190.55;R$ 50,236,190.55;R$ 50,236,190.55
2021;Requalificação e promoção da ocupação dos espaços públicos;24;R$ 39,656,410.84;R$ 37,146,731.12;R$ 36,905,530.31;R$ 36,905,530.31
2022;Requalificação e Promoção da Ocupação dos Espaços Públicos;24;R$ 32,835,627.40;R$ 22,298,696.17;R$ 5,974,142.42;R$ 4,255,879.74
2022;Acesso à Moradia Adequada ;16;R$ 23,552,247.57;R$ 16,504,045.58;R$ 14,804,803.32;R$ 14,802,668.34
2022;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilânc;19;R$ 65,189,232.69;R$ 8,387,116.00;R$ 6,439,376.13;R$ 6,439,376.13
2022;Proteção à População em Situação de Vulnerabilidade Social;10;R$ 2,789,560.81;R$ 355,634.76;R$ 355,634.76;R$ 355,634.76
2023;Requalificação e Promoção da Ocupação dos Espaços Públicos;262;R$ 1,004,833,162.51;R$ 594,354,466.72;R$ 510,014,806.29;R$ 496,321,826.29
2023;Acesso à Moradia Adequada ;1;R$ 100,000,000.00;R$ 100,000,000.00;R$ 100,000,000.00;R$ 100,000,000.00
2023;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilânc;144;R$ 146,399,570.13;R$ 47,889,526.87;R$ 27,170,840.47;R$ 21,921,071.57
2023;Melhoria da Mobilidade Urbana Universal;23;R$ 48,984,964.51;R$ 42,787,897.30;R$ 24,502,174.73;R$ 25,790,695.55
2023;Promoção da Sustentabilidade Ambiental;16;R$ 22,338,904.67;R$ 10,578,500.69;R$ 10,578,500.69;R$ 10,578,500.69
2023;Promoção dos Direitos da Pessoa com Deficiência;10;R$ 6,897,460.55;R$ 2,920,629.06;R$ 1,212,723.67;R$ 696,233.54
2024;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilânc;279;R$ 235,445,072.88;R$ 191,508,817.26;R$ 144,015,564.90;R$ 126,328,444.95
2024;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergê;76;R$ 104,253,127.06;R$ 87,133,982.44;R$ 81,909,086.54;R$ 74,503,792.98
2024;Requalificação e Promoção da Ocupação dos Espaços Públicos;31;R$ 79,911,441.29;R$ 61,999,910.98;R$ 61,984,307.25;R$ 61,984,307.25
2024;Acesso à Moradia Adequada ;31;R$ 24,945,525.95;R$ 23,501,536.35;R$ 21,669,987.80;R$ 21,655,918.94
2025;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergê;126;R$ 311,816,092.39;R$ 288,151,466.84;R$ 117,267,287.16;R$ 116,843,773.40
2025;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilânc;294;R$ 171,669,947.94;R$ 156,837,328.10;R$ 70,046,328.01;R$ 69,382,046.84
2025;Acesso à Moradia Adequada ;16;R$ 36,726,163.63;R$ 18,733,716.43;R$ 8,574,473.38;R$ 8,574,473.38
2026;Saúde em Atenção Hospitalar e de Urgência e Emergência;41;R$ 47,868,105.42;R$ 47,821,152.42;R$ 19,672,565.97;R$ 18,114,753.28
2026;Saúde em Atenção Básica, Especialidades e Vigilância;75;R$ 41,942,360.05;R$ 41,408,283.10;R$ 7,323,750.30;R$ 6,285,187.49
