ano,txDescricaoSubFuncao,qtd_empenhos,valTotalEmpenhado,valEmpenhadoLiquido,valLiquidado,valPagoExercicio
2019,Infra-Estrutura Urbana,14,82657348.02,46784135.64,37553649.34,26328622.96
2020,Serviços Urbanos,62,170354937.54,101411276.12,81270262.77,80943708.33
2020,Infra-Estrutura Urbana,19,81646290.43,39332521.98,18250312.29,16973648.97
2020,Transportes Especiais,3,49878762.06,16512215.93,11723669.9,8515525.7
2021,Transportes Especiais,10,42603255.83,40940680.75,40940680.75,40940680.75
2021,Serviços Urbanos,24,39656410.84,37146731.12,36905530.31,36905530.31
2021,Transportes Coletivos Urbanos,1,9734444.12,9295509.8,9295509.8,9295509.8
2022,Serviços Urbanos,24,32835627.4,22298696.17,5974142.42,4255879.74
2022,Infra-Estrutura Urbana,16,23552247.57,16504045.58,14804803.32,14802668.34
2022,Assistência Hospitalar e Ambulatorial,10,34104113.99,5563802.63,4224078.77,4224078.77
2022,Atenção Básica,9,31085118.7,2823313.37,2215297.36,2215297.36
2022,Assistência Comunitária,10,2789560.81,355634.76,355634.76,355634.76
2023,Serviços Urbanos,259,899445717.36,511526465.65,437200060.99,424020487.66
2023,Infra-Estrutura Urbana,36,161269870.21,128536527.43,98529643.7,98788267.72
2023,Habitação Urbana,17,122338904.67,110578500.69,110578500.69,110578500.69
2023,Atenção Básica,120,100806051.94,33243627.76,20699791.42,16121611.52
2023,Assistência Hospitalar e Ambulatorial,24,45593518.19,14645899.11,6471049.05,5799460.05
2024,Atenção Básica,279,235445072.88,191508817.26,144015564.9,126328444.95
2024,Assistência Hospitalar e Ambulatorial,76,104253127.06,87133982.44,81909086.54,74503792.98
2024,Serviços Urbanos,30,59911441.29,42000000.0,42000000.0,42000000.0
2024,Habitação Urbana,31,24945525.95,23501536.35,21669987.8,21655918.94
2024,Infra-Estrutura Urbana,1,20000000.0,19999910.98,19984307.25,19984307.25
2025,Assistência Hospitalar e Ambulatorial,126,311816092.39,288151466.84,117267287.16,116843773.4
2025,Atenção Básica,294,171669947.94,156837328.1,70046328.01,69382046.84
2025,Habitação Urbana,12,21638238.11,11228200.79,2400224.87,2400224.87
2025,Infra-Estrutura Urbana,4,15087925.52,7505515.64,6174248.51,6174248.51
2026,Assistência Hospitalar e Ambulatorial,41,47868105.42,47821152.42,19672565.97,18114753.28
2026,Atenção Básica,75,41942360.05,41408283.1,7323750.3,6285187.49
