ano,categoria_receita,valRealizado
2019,OUTORGAS PROVENIENTES DE CONCESSÕES,149763473.33
2019,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,28489447.62
2019,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,1182392.53
2019,DEDUÇÕES ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,-18666105.56
2020,OUTORGAS PROVENIENTES DE CONCESSÕES,709110949.36
2020,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,38814871.63
2020,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,5814820.72
2020,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,0.0
2020,DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES,-2968701.64
2021,OUTORGAS PROVENIENTES DE CONCESSÕES,71320613.68
2021,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,16976170.06
2021,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,12606991.0
2021,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,0.0
2021,DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES,0.0
2022,OUTORGAS PROVENIENTES DE CONCESSÕES,718446343.96
2022,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,71353987.63
2022,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019,1806.0
2022,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,0.0
2023,OUTORGAS PROVENIENTES DE CONCESSÕES,113525641.83
2023,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,100488722.37
2023,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,3530297.07
2023,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019,0.0
2023,CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS),0.0
2024,OUTORGAS PROVENIENTES DE CONCESSÕES,119282486.43
2024,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,20252546.06
2024,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,13088421.08
2024,"CONCESSÃO, PERM., AUT. OU CESSÃO DIREITO USO DE BENS IMÓVEIS PUB.",87514.5
2024,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019,1420.64
2024,CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS),0.0
2025,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,417271613.64
2025,OUTORGAS PROVENIENTES DE CONCESSÕES,121622032.74
2025,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,22753305.17
2025,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019,0.0
2026,ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS,67971204.63
2026,OUTORGAS PROVENIENTES DE CONCESSÕES,56131558.57
2026,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,14621608.2
2026,"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",178207.71
2026,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019,0.0
