txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta,codReceita,tipo_no_receita,tem_descendente_no_conjunto
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000000000000,0.0,5,,12,1310021103210000000000000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001100000,0.0,5,,12,1310021103210000001100000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001101000,0.0,5,,12,1310021103210000001101000,bruto_ou_outro,False
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,16976170.06,5,,12,1321005101090890000000000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000000000000,71320613.68,5,,12,1339991101000000000000000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001100000,71320613.68,5,,12,1339991101000000001100000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001101000,71320613.68,5,,12,1339991101000000001101000,bruto_ou_outro,False
TOTAL DEDUÇÕES OUTORGA PROVENIENTES DE CONCESSÕES-FMD,0.0,1339991101000000001109000,0.0,5,,12,1339991101000000001109000,total_subtotal,True
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,0.0,5,,12,1339991101000000001109001,deducao,False
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,254308142.0,2220001101020020001101000,12606991.0,5,,12,2220001101020020001101000,bruto_ou_outro,False
