identificadorEmpenho,numeroEmpenho,anoEmpenho,processoEmpenho,numeroDocumento,codigoOrgao,codigoUnidade,dataEmissao,dataVencimento,dataPagamento,cpfCnpjCredor,razaoSocialCredor,valorDocumento,valorCancelado,valorPago,tipoDocumento,tipoPagamento,processoPagamento,nrNLP,anoNLP,codigoEmpresa,modifiedMode,usuarioOperacao
2429793,18879,2021,6074202000060223,284049038,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,196.76,0.0,196.76,FATURA,BAIXA TENSÃO,6074202100008517,47554,2021,01,5,
2429793,18879,2021,6074202000060223,284846515,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,193.61,0.0,193.61,FATURA,BAIXA TENSÃO,6074202100008517,47517,2021,01,5,
2429793,18879,2021,6074202000060223,286057695,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,201.63,0.0,201.63,FATURA,BAIXA TENSÃO,6074202100008517,47534,2021,01,5,
2429793,18879,2021,6074202000060223,286047384,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,315.0,0.0,315.0,FATURA,BAIXA TENSÃO,6074202100008517,47636,2021,01,5,
2429793,18879,2021,6074202000060223,284846515,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,193.61,0.0,193.61,FATURA,BAIXA TENSÃO,6074202100008517,47517,2021,01,5,
2429793,18879,2021,6074202000060223,285662302,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,271.06,0.0,271.06,FATURA,BAIXA TENSÃO,6074202100008517,47523,2021,01,5,
2429793,18879,2021,6074202000060223,284036483,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,212.38,0.0,212.38,FATURA,BAIXA TENSÃO,6074202100008517,47532,2021,01,5,
2429793,18879,2021,6074202000060223,286447651,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,344.26,0.0,344.26,FATURA,BAIXA TENSÃO,6074202100008517,47646,2021,01,5,
2429793,18879,2021,6074202000060223,286441297,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,283.94,0.0,283.94,FATURA,BAIXA TENSÃO,6074202100008517,47667,2021,01,5,
2429793,18879,2021,6074202000060223,286434455,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,51.04,0.0,51.04,FATURA,BAIXA TENSÃO,6074202100008517,47671,2021,01,5,
