txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,1
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,2289939.33,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,9189412.53,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,9189412.53,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,9189412.53,5,,1
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,1675410.32,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,2
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,2882824.0,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,18794838.16,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,18794838.16,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,18794838.16,5,,2
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,1675410.32,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,3
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,3148093.74,5,,3
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,33123527.48,5,,3
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,33123527.48,5,,3
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,33123527.48,5,,3
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,1675410.32,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,4
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,4
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,4
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,4005958.66,5,,4
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,41376290.37,5,,4
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,41376290.37,5,,4
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,41376290.37,5,,4
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,1675410.32,5,,4
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,5
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,5
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,5
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,4568320.13,5,,5
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,51890901.51,5,,5
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,51890901.51,5,,5
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,51890901.51,5,,5
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,1675410.32,5,,5
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,6
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,6
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,6
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,5058282.77,5,,6
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,60568820.52,5,,6
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,60568820.52,5,,6
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,60568820.52,5,,6
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,3663121.64,5,,6
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,7
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,7
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,7
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,5508968.51,5,,7
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,70724544.08,5,,7
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,70724544.08,5,,7
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,70724544.08,5,,7
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,3663121.64,5,,7
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,8
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,8
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,8
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,6312279.5,5,,8
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,81755588.19,5,,8
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,81755588.19,5,,8
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,81755588.19,5,,8
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,3663121.64,5,,8
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,9
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,9
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,9
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,7074597.76,5,,9
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,89739463.86,5,,9
