codReceita,txtDescricaoReceita,modifiedMode,usuarioOperacao
1000000000000000000000000,RECEITAS CORRENTES,5,
1100000000000000000000000,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",5,
1110000000000000000000000,IMPOSTOS,5,
1111000000000000000000000,IMPOSTOS SOBRE O COMÉRCIO EXTERIOR,5,
1111010000000000000000000,IMPOSTO SOBRE A IMPORTAÇÃO,5,
1111011000000000000000000,IMPOSTO SOBRE A IMPORTAÇÃO,5,
1111020000000000000000000,IMPOSTO SOBRE A EXPORTAÇÃO,5,
1111021000000000000000000,IMPOSTO SOBRE A EXPORTAÇÃO,5,
1112000000000000000000000,IMPOSTOS SOBRE O PATRIMÔNIO,5,
1112010000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,5,
1112011000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - MUNICÍPIOS CONVENIADOS,5,
1112012000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - MUNICÍPIOS NÃO-CONVENIADOS,5,
1112500000000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5,
1112500100000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL,5,
1112500101000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5,
1112500101000000001100000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5,
1112500101000000001101000,Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001109000,TOTAL DE DEDUÇÕES DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5,
1112500101000000001109001,Deduções do Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001200000,TOTAL PARCELAMENTO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5,
1112500101000000001201000,PARCELAMENTO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5,
1112500101000000001201001,PPI - Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001201002,PAT - Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001201003,PISN - Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001201008,"TDM- Imposto sobre a Propriedade Predial e Territorial Urbana
",5,
1112500101000000001209000,TOTAL DEDUÇÕES PARCELAMENTO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5,
1112500101000000001209001,Deduções PPI - Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001209002,Deduções PAT - Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001209003,Deduções PISN - Imposto sobre a Propriedade Predial e Territorial Urbana,5,
1112500101000000001209008,"Deduções TDM - Imposto sobre a Propriedade Predial e Territorial Urbana
",5,
1112500101990000000000000,"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA- PL REFORMA TRIBUTÁRIA
",5,
1112500101990000001100000,"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA-  PL REFORMA TRIBUTÁRIA
",5,
1112500101990000001101000,"Imposto sobre a Propriedade Predial e Territorial Urbana- PL Reforma tributária
",5,
1112500102000000000000000,AUTOS DE INFRAÇÃO DE IPTU- OBRIGAÇÕES ACESSÓRIAS,5,
1112500102000000001100000,AUTOS DE INFRAÇÃO DE IPTU- OBRIGAÇÕES ACESSÓRIAS,5,
1112500102000000001101000,Autos de Infração de IPTU- Obrigações acessórias,5,
1112500102000000001109000,TOTAL DE DEDUÇÃO AUTOS DE INFRAÇÃO DE IPTU- OBRIGAÇÕES ACESSÓRIAS,5,
1112500102000000001109001,Dedução Autos de Infração de IPTU- Obrigações acessórias,5,
1112500200000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS,5,
1112500201000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS,5,
1112500201000000001100000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS,5,
1112500201000000001101000,Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros,5,
1112500201000000001109000,TOTAL DE DEDUÇÕES IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS,5,
1112500201000000001109001,Deduções do Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros,5,
1112500201000000001200000,PARCELAMENTO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS,5,
