txtDescricaoModalidade,codEmpresa,codTipoContratacao,valReajustes,codProcesso,codModalidade,datVigencia,datAssinaturaContrato,valAditamentos,codContrato,valLiquidado,codOrgao,valPago,valAnulacao,valEmpenhadoLiquido,valTotalEmpenhado,anoContrato,numOriginalContrato,txtDescricaoOrgao,valAnuladoEmpenho,datPublicacaoContrato,valPrincipal,txtTipoContratacao,txtObjetoContrato,modifiedMode,usuarioOperacao
Não Aplicável,01,45,620792.95,6018202100921969,8,19/11/2023 00:00:00,14/03/2022 00:00:00,0.0,5352,9451032.48,07,9451032.48,0.0,9451032.48,17977517.26,2022,PPP 06.03/22,Fundo Municipal de Desenvolvimento Social,8526484.78,15/03/2022 00:00:00,8863010.0,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 06.03/22 059771527, referente a implantação da UBS Jd. Antártica, onerando a dotação 07.10.10.301.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.246/22 059790020 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100922175,8,18/07/2024 00:00:00,14/03/2022 00:00:00,8726634.9,5369,21008829.46,07,21008829.46,0.0,21008829.46,35259804.25,2022,PPP 06/19,Fundo Municipal de Desenvolvimento Social,14250974.79,14/03/2022 00:00:00,12500000.0,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 06.04/22 058576573, Contrato Aditamento PPP 06.05/22 059771115 referente a implantação da UPA Jd. Peri, onerando a dotação 07.10.10.302.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.247/22 059790136 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100923350,8,16/08/2025 00:00:00,14/03/2022 00:00:00,11349950.37,5389,20649504.72,07,20649504.72,0.0,20649504.72,35453910.2,2022,PPP 01/19,Fundo Municipal de Desenvolvimento Social,14804405.48,15/03/2022 00:00:00,9300102.6,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 01.02/22 058452118 Contrato de Aditamento PPP 01.03/22 059772561, referente a reforma da UPA Augusto Gomes de Matos, onerando a dotação 07.10.10.302.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.247/22 059790136 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100923473,8,18/01/2025 00:00:00,14/03/2022 00:00:00,10625007.37,5392,19352666.62,07,19352666.62,0.0,19352666.62,32456321.16,2022,PPP 06.03/22,Fundo Municipal de Desenvolvimento Social,13103654.54,15/03/2022 00:00:00,8792629.5,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 06.03/22 058576995 Contrato Aditamento PPP 06.04/22 059770065, referente a reforma da UPA 21 de Junho, onerando a dotação 07.10.10.302.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.247/22 059790136 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100949189,8,20/12/2024 00:00:00,14/03/2022 00:00:00,1790676.89,5401,10493365.01,07,10493365.01,0.0,10493365.01,26945157.23,2022,PPP 5/19,Fundo Municipal de Desenvolvimento Social,16451792.22,14/03/2022 00:00:00,9265110.3,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 05.02/22 058511322, referente a implantação da UBS Caju, onerando a dotação 07.10.10.301.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.246/22 059790020 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100949391,8,21/08/2024 00:00:00,14/03/2022 00:00:00,1825108.68,5403,10578892.55,07,10578892.55,0.0,10578892.55,21617275.07,2022,PPP 04.02/2022,Fundo Municipal de Desenvolvimento Social,11038382.52,14/03/2022 00:00:00,9265110.3,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 04.02/22 058507685 Contrato Aditamento PPP 04.02/22 059772219, referente a implantação da UBS Malta II, onerando a dotação 07.10.10.301.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.246/22 059790020 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100949413,8,,,0.0,5407,0.0,07,0.0,0.0,0.0,4554602.36,2022,,Fundo Municipal de Desenvolvimento Social,4554602.36,,8863010.0,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 03.01/22 058504151, referente a implantação da UBS Vila Rubi, onerando a dotação 07.10.10.301.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.246/22 059790020 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100949430,8,,,0.0,5410,0.0,07,0.0,0.0,0.0,4518434.61,2022,,Fundo Municipal de Desenvolvimento Social,4518434.61,,8792629.5,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 02.01/22 058503068, referente a reforma e ampliação da UPA Santana, onerando a dotação 07.10.10.302.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.247/22 059790136 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,6018202100949472,8,19/07/2026 00:00:00,14/03/2022 00:00:00,7136582.89,5412,8587181.19,07,8587181.19,0.0,10979834.87,27284718.44,2022,PPP 4/19,Fundo Municipal de Desenvolvimento Social,16304883.57,14/03/2022 00:00:00,8792629.5,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 04.01/22 058452118, Contrato de Aditamento PPP 04.01/22 059771945, referente a reforma e ampliação da UPA Butantã/Caetano Virgílio Neto, onerando a dotação 07.10.10.302.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.247/22 059790136 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,4991357.93,6018202100923155,8,19/06/2026 00:00:00,14/03/2022 00:00:00,12074909.99,5417,28467438.33,07,28467438.33,0.0,28510190.3,53566951.02,2022, PPP 05.01/22,Fundo Municipal de Desenvolvimento Social,25056760.72,15/03/2022 00:00:00,16800000.0,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 05.01/22 058303673, referente a implantação da UPA Lapa, onerando a dotação 07.10.10.302.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.247/22 059790136 - Processo SEI 7610.2022/0000505-1.",5,
