codEmpresa,nomEmpresa,numReserva,codEmpenho,anoEmpenho,mesEmpenho,datEmpenho,codProcesso,numCpfCnpj,txtRazaoSocial,numContrato,anoContrato,codOrgao,txDescricaoOrgao,codUnidade,txDescricaoUnidade,codFuncao,txDescricaoFuncao,codSubFuncao,txDescricaoSubFuncao,codPrograma,txDescricaoPrograma,codProjetoAtividade,txDescricaoProjetoAtividade,codCategoria,txDescricaoCategoriaEconomica,codGrupo,txDescricaoGrupoDespesa,codModalidade,txDescricaoModalidade,codElemento,txDescricaoElemento,codFonteRecurso,txDescricaoFonteRecurso,codItemDespesa,txDescricaoItemDespesa,codSubElemento,txDescricaoSubElementoDespesa,valTotalEmpenhado,valAnuladoEmpenho,valEmpenhadoLiquido,valLiquidado,valPagoExercicio,valPagoRestos,anexos,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codExeFonte,numeroOriginalContrato
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,18820,24616,2021,3,16/03/2021 00:00:00,6020202000114957,02120261000170,SHOP SIGNS OBRAS E SERVICOS LTDA,24550,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1098,"Ampliação, Reforma e Requalificação de Ciclovias, Ciclofaixas e Ciclor",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,2176945.67,142394.14,2034551.53,2034551.53,2034551.53,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Contrato nº 30/2020-SMT – Serviços de manutenção do Sistema Cicloviário da Cidade de São Paulo – LOTE 2"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 2176945.67}]",,,,,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,18820,24623,2021,3,16/03/2021 00:00:00,6020202000123832,03643992000163,BB ENGENHARIA E CONSTRUCOES S A,27111,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1098,"Ampliação, Reforma e Requalificação de Ciclovias, Ciclofaixas e Ciclor",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,1667244.1,1681.85,1665562.25,1665562.25,1665562.25,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Contrato 33/2020-SMT – Serviços de manutenção do Sistema Cicloviário da Cidade de São Paulo – LOTE 1"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 1667244.1}]",,,,,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,18820,24757,2021,3,16/03/2021 00:00:00,6020202000089308,53591103000130,FLORESTANA CONSTRUCOES E SERVICOS LTDA,23526,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1098,"Ampliação, Reforma e Requalificação de Ciclovias, Ciclofaixas e Ciclor",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,3413093.38,306903.09,3106190.29,3106190.29,3106190.29,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Contrato nº 29/2020-SMT – . – LOTE 3"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 3413093.38}]",,,,,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,18820,25085,2021,3,18/03/2021 00:00:00,6020202000089308,53591103000130,FLORESTANA CONSTRUCOES E SERVICOS LTDA,23526,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1098,"Ampliação, Reforma e Requalificação de Ciclovias, Ciclofaixas e Ciclor",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,1884840.05,41354.9,1843485.15,1843485.15,1843485.15,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Serviços de manutenção do Sistema Cicloviário da Cidade de São Paulo – LOTE 3"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 1884840.05}]",,,,,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,18820,26391,2021,3,22/03/2021 00:00:00,6020202000114930,02120261000170,SHOP SIGNS OBRAS E SERVICOS LTDA,24545,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1098,"Ampliação, Reforma e Requalificação de Ciclovias, Ciclofaixas e Ciclor",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,3401978.15,1070594.46,2331383.69,2331383.69,2331383.69,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Serviços de manutenção do Sistema Cicloviário da Cidade de São Paulo – LOTE 4"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 3401978.15}]",,,,,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,18825,28582,2021,3,27/03/2021 00:00:00,6020202000107110,47902648000117,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,5719,2021,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1098,"Ampliação, Reforma e Requalificação de Ciclovias, Ciclofaixas e Ciclor",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08,Tesouro Municipal - Recursos Vinculados,1,CET,9,Outros Serviços de Terceiros - Pessoa Jurídica,21564145.43,0.0,21564145.43,21564145.43,21564145.43,0.0,"[{""siglaUnidadeMedida"": ""SER"", ""descricaoAnexo"": "" 2º TA – Contrato nº 01/SMT/2021 - Prestação dos serviços de engenharia de tráfego e educação de trânsito no Município de São Paulo.\n\n "", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 21564145.43}]",,,,,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,18879,30951,2021,4,07/04/2021 00:00:00,5010202000038862,60498417000158,SAO PAULO TRANSPORTE SA,6672,2021,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,453,Transportes Coletivos Urbanos,3009,Melhoria da mobilidade urbana universal,5394,"Ampliação, Reforma e Requalificação nas Áreas de Parada e Plataforma d",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,51,Obras em Andamento - Uso Comum do Povo,08,Tesouro Municipal - Recursos Vinculados,2,Terminais de Ônibus e Abrigos para Passageiros ,8,Obras e Instalações,9734444.12,438934.32,9295509.8,9295509.8,9295509.8,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Termo Aditivo Convênio 001/2021 * SMTxSPTrans"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 9734444.12}]",,,,,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,14302,32459,2021,4,14/04/2021 00:00:00,7610202000017749,33113646000134,HABITA LOTE 12 SA,16630,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1097,"Construção de Ciclovias, Ciclofaixas e Ciclorrotas",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,51,Obras em Andamento - Uso Comum do Povo,08,Tesouro Municipal - Recursos Vinculados,1,Pavimentação de Ruas e Avenidas ,8,Obras e Instalações,4881269.64,1204.0,4880065.64,4880065.64,4880065.64,0.0,"[{""siglaUnidadeMedida"": ""UN."", ""descricaoAnexo"": ""Execução das obras e serviços contratados no âmbito do Lote 01 - CTR PPP 01/19 conforme Termo de Cooperação COHAB-SP 01.01/20"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 4881269.64}]",,,,,01.01/20
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,14302,32463,2021,4,14/04/2021 00:00:00,7610202000017757,33113646000134,HABITA LOTE 12 SA,16633,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,26,Transporte,785,Transportes Especiais,3009,Melhoria da mobilidade urbana universal,1097,"Construção de Ciclovias, Ciclofaixas e Ciclorrotas",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,51,Obras em Andamento - Uso Comum do Povo,08,Tesouro Municipal - Recursos Vinculados,1,Pavimentação de Ruas e Avenidas ,8,Obras e Instalações,1499521.89,0.0,1499521.89,1499521.89,1499521.89,0.0,"[{""siglaUnidadeMedida"": ""UN."", ""descricaoAnexo"": ""Pagamento das medições de janeiro e fevereiro/2021 referente a execução das obras e serviços contratados no âmbito do Lote 12 - CTR PPP 06/19 conforme Termo de Cooperação COHAB-SP 06.01/20 e aditamento 06.02/20"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 1499521.89}]",,,,,06.01/20
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25900,35087,2021,4,28/04/2021 00:00:00,6012201900078840,01065014000156,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,26934,2019,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e promoção da ocupação dos espaços públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,2345568.61,0.0,2345568.61,2345568.61,2345568.61,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Ata de Registros de Preços nº 07/SMPR/COGEL/2017 - AGRUPAMENTO VIII, objetivando os serviços de conservação e manutenção da malha viária"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 2345568.61}]",,,,,
