txtTipoNatureza,txtRazaoSocial,numCpfCnpj,modifiedMode,usuarioOperacao
C,HABITA LOTE 12 SA,33113646000134,5,
C,HABITA LOTE 12 SA,33113646000134,5,
C,HABITA LOTE 12 SA,33113646000134,5,
C,HABITA LOTE 12 SA,33113646000134,5,
C,HABITA LOTE 12 SA,33113646000134,5,
C,HABITA LOTE 12 SA,33113646000134,5,
C,UNO HABITACAO SA,33298127000198,5,
C,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,32994332000125,5,
C,UNO PPP HABITACAO SA,40280308000152,5,
C,UNO PPP HABITACAO SA,40280308000152,5,
C,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,32994332000125,5,
C,UNO HABITACAO SA,33298127000198,5,
C,HABITA LOTE 12 SA,33113646000134,5,
C,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,66748955000130,5,
C,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,66748955000130,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,CONSTRUTORA ITAJAI LTDA,55460554000163,5,
C,SANED ENGENHARIA  E EMPREENDIMENTOS S.A,68976224000177,5,
C,EPURA ENGENHARIA E CONSTRUCOES LTDA,47627898000196,5,
C,WEBER CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,06273115000136,5,
C,SANED ENGENHARIA  E EMPREENDIMENTOS S.A,68976224000177,5,
C,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,66748955000130,5,
C,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,66748955000130,5,
C,TRANSVIAS CONSTRUCOES E TERRAPLENAGEM LTDA,54883194000140,5,
C,SANED ENGENHARIA  E EMPREENDIMENTOS S.A,68976224000177,5,
C,HABITA LOTE 12 SA,33113646000134,5,
C,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,32994332000125,5,
C,PROGRAMA PODE ENTRAR - AQUISIÇÕES,00352839000000,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,NOVA JRA EMPREENDIMENTOS E ENGENHARIA LTDA,44721630000120,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,ENGENHARIA E COMERCIO RIGEL LTDA,53640280000169,5,
C,LEMAM CONSTRUCOES E COMERCIO SA,04002395000112,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,BT COMERCIO E SERVICOS EM ELEVADORES LTDA,28355223000190,5,
C,WEBER CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,06273115000136,5,
C,CONAM  CONSULTORIA AMBIENTAL LTDA,06316940000170,5,
C,TERRA NOVA ENGENHARIA E CONSTRUCOES LTDA,07461206000168,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
C,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181,5,
