valLiquidado,valPagoRestos,valSuplementado,valPagoExercicio,valCanceladoReserva,valDescongelado,valReservado,valEmpenhadoLiquido,valTotalEmpenhado,valReservadoLiquido,valAnuladoEmpenho,valDisponivel,valOrcadoInicial,valCongelado,valReduzido,valOrcadoAtualizado,modifiedMode,usuarioOperacao,_mesConsulta
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74536148.0,74552148.0,16000.0,0.0,74552148.0,5,,1
0.0,0.0,41884324.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74536148.0,74552148.0,16000.0,41884324.75,74552148.0,5,,2
0.0,0.0,58737504.9,0.0,17353000.0,0.0,80242146.0,54757307.71,56396618.01,62889146.0,1639310.3,91389328.15,74552148.0,16000.0,41884324.75,91405328.15,5,,3
16050029.96,0.0,58737504.9,3309232.78,17353000.0,0.0,80742146.0,59188309.12,63476092.36,63389146.0,4287783.24,91389328.15,74552148.0,16000.0,41884324.75,91405328.15,5,,4
35780624.47,0.0,58737504.9,34042873.97,17353000.0,0.0,80742146.0,61400564.22,65688347.46,63389146.0,4287783.24,91389328.15,74552148.0,16000.0,41884324.75,91405328.15,5,,5
41213927.45,0.0,66281467.66,41005963.36,17353000.0,0.0,80742146.0,61400564.22,65988347.46,63389146.0,4587783.24,91389328.15,74552148.0,16000.0,49428287.51,91405328.15,5,,6
47598690.12,0.0,66281467.66,47031522.29,41223368.55,0.0,115049281.33,69497302.66,74085085.9,73825912.78,4587783.24,91389328.15,74552148.0,16000.0,49428287.51,91405328.15,5,,7
54502622.47,0.0,66281467.66,50956492.94,43883951.69,0.0,135273097.69,84568289.99,96700035.99,91389146.0,12131746.0,91389328.15,74552148.0,16000.0,49428287.51,91405328.15,5,,8
59102456.12,0.0,66281467.66,58231018.17,43883951.69,0.0,135273097.69,85168289.99,97300035.99,91389146.0,12131746.0,91389328.15,74552148.0,16000.0,49428287.51,91405328.15,5,,9
62992746.74,0.0,454281467.66,62571778.02,43883951.69,0.0,523273097.69,274615938.51,286858117.49,479389146.0,12242178.98,479389328.15,74552148.0,16000.0,49428287.51,479405328.15,5,,10
105087244.09,0.0,469281467.66,104883750.74,43883951.69,0.0,538273097.69,454716407.71,469789902.58,494389146.0,15073494.87,494389328.15,74552148.0,16000.0,49428287.51,494405328.15,5,,11
195888088.55,0.0,469281467.66,194800293.62,59244101.7,0.0,538273097.69,479028995.99,520212203.96,479028995.99,41183207.97,494389328.15,74552148.0,16000.0,49428287.51,494405328.15,5,,12
