endpoint,ano,codOrgao,txtDescricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao,codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,codPrograma,txtDescricaoPrograma,codProjetoAtividade,txtDescricaoProjetoAtividade,codUnidade,txtDescricaoUnidade,codigoOrgao,descricaoOrgao,_codOrgao_consultado
orgaos,2025,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,,,,,
orgaos,2025,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,,,,,
orgaos,2025,40,Secretaria Municipal de Desestatização e Parcerias,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.1.759.1167,PMSP-SMDHC/Fundo Municipal de Defesa do Consumidor-FMDC,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.1.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.1.799.0710,PMSP-SMDU/OU AGUA BRANCA - OUTORGA,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.1.799.0717,PMSP-SMDU/OUC FARIA LIMA - OUTORGA GERAL,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.1.799.1431,PMSP-SMUL/OUC AGUA BRANCA - OUTORGA GERAL,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.1.799.1433,PMSP-SMUL/OUC FARIA LIMA - OUTORGA GERAL  ,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.2.799.0710,PMSP-SMDU/OU AGUA BRANCA - OUTORGA,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,08.2.799.0717,PMSP-SMDU/OUC FARIA LIMA - OUTORGA GERAL,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,10.1.755.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,10.1.755.9001,Recursos de Alienação de Bens/Ativos - Administração Direta,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,10.1.756.8003,Recursos de Alienação de Bens/Ativos - Administração Indireta,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,10.2.755.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,10.2.755.9001,Recursos de Alienação de Bens/Ativos - Administração Direta,2025.0,,,,,,,,,
fonteRecursos,2025,,,,,5,,10.2.756.8003,Recursos de Alienação de Bens/Ativos - Administração Indireta,2025.0,,,,,,,,,
programas,2025,,,,,5,,,,,0343,Assistência e Desenvolvimento Social à Família-Proteção Social Básica,,,,,,,
projetosAtividades,2025,,,,,5,,,,,,,1912,ABADS (Associação Brasileira de Assistência e Desenvolvimento Social),,,,,
projetosAtividades,2025,,,,,5,,,,,,,2419,Ações de Desestatização,,,,,
projetosAtividades,2025,,,,,5,,,,,,,3010,Projetos de Saúde Oriundos de Recursos de Desestatizações e Parcerias,,,,,
projetosAtividades,2025,,,,,5,,,,,,,3011,Projetos de Educação Oriundos de Recursos de Desestatizações e Parcerias,,,,,
projetosAtividades,2025,,,,,5,,,,,,,3012,Projetos de Transporte Oriundos de Recursos de Desestatizações e Parcerias,,,,,
projetosAtividades,2025,,,,,5,,,,,,,3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,,,,,
projetosAtividades,2025,,,,,5,,,,,,,3014,Projetos de Habitação Oriundos de Recursos de Desestatizações e Parcerias,,,,,
projetosAtividades,2025,,,,,5,,,,,,,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,,,,,
