codEmpresa,nomEmpresa,modifiedMode,usuarioOperacao
00,CONSOLIDADO GERAL,5,
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
02,ADMINISTRAÇÃO INDIRETA,5,
03,CINEMA E AUDIOVISUAL DE SÃO PAULO,5,
04,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5,
05,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,5,
06,SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO,5,
07,AGÊNCIA REG. DE SERV. PÚBLICOS DE SÃO PAULO,5,
08,FUNDO PREVIDENCIÁRIO - FUNPREV,5,
09,FUNDO FINANCEIRO - FUNFIN,5,
10,AUTARQUIA HOSPITALAR MUNICIPAL,5,
11,Autarquia Hosp. Munic. Regional Leste,5,
12,Autarquia Hosp. Munic. Regional Sudeste,5,
13,Autarquia Hosp. Munic. Regional Sul,5,
14,Autarquia Hosp. Munic. Regional Centro-Oeste,5,
15,Autoridade Municipal de Limpeza Urbana/FMLU,5,
16,FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA,5,
17,Fundação Catavento,5,
18,CÂMARA MUNICIPAL,5,
19,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,5,
20,PODER LEGISLATIVO,5,
21,PODER EXECUTIVO,5,
22,Fundo Especial de Despesas da Câmara,5,
23,FUNDO ESPECIAL DE DESPESAS DO TCMSP,5,
24,CONSOLIDADO TCMSP E FEDTCM,5,
25,CONSOLIDADO CMSP e FECAM,5,
26,CONSOLIDADO COHAB E FMH,5,
27,ADMINISTRAÇÃO DIRETA E FUNDOS,5,
28,ADMINISTRAÇÃO DIRETA,5,
29,SÃO PAULO TURISMO,5,
30,SÃO PAULO URBANISMO,5,
31,CONSOLIDADO AMLURB E FMLU,5,
32,CONSOLIDADO SPREGULA E FMLU,5,
33,CONSOLIDADO FUNPREV E FUNFIN,5,
34,CONSOLIDADO FUNPREV/FUNFIN/IPREM,5,
35,ADMINISTRAÇÃO DIRETA E FMLU,5,
81,FUNDO MUNICIPAL DE LIMPEZA URBANA,5,
83,COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO,5,
85,FUNDAÇÃO THEATRO MUNICIPAL DE SÃO PAULO,5,
91,Fundo Municipal de Habitação - COHAB,5,
