codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
08.1.759.1167,PMSP-SMDHC/Fundo Municipal de Defesa do Consumidor-FMDC,2025,5,
08.1.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025,5,
08.1.799.0710,PMSP-SMDU/OU AGUA BRANCA - OUTORGA,2025,5,
08.1.799.0717,PMSP-SMDU/OUC FARIA LIMA - OUTORGA GERAL,2025,5,
08.1.799.1431,PMSP-SMUL/OUC AGUA BRANCA - OUTORGA GERAL,2025,5,
08.1.799.1433,PMSP-SMUL/OUC FARIA LIMA - OUTORGA GERAL  ,2025,5,
08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025,5,
08.2.799.0710,PMSP-SMDU/OU AGUA BRANCA - OUTORGA,2025,5,
08.2.799.0717,PMSP-SMDU/OUC FARIA LIMA - OUTORGA GERAL,2025,5,
10.1.755.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025,5,
10.1.755.9001,Recursos de Alienação de Bens/Ativos - Administração Direta,2025,5,
10.1.756.8003,Recursos de Alienação de Bens/Ativos - Administração Indireta,2025,5,
10.2.755.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,2025,5,
10.2.755.9001,Recursos de Alienação de Bens/Ativos - Administração Direta,2025,5,
10.2.756.8003,Recursos de Alienação de Bens/Ativos - Administração Indireta,2025,5,
