codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
00.1.500.0003,Campo de Marte,2025,5,
00.1.500.0004,Recursos do FUMCAD desvinculados,2025,5,
00.1.500.7001,Emendas Parlamentares - Eli Corrêa,2025,5,
00.1.500.7002,Emendas Parlamentares - João Ananias,2025,5,
00.1.500.7003,Emendas Parlamentares - Bombeiro Major Palumbo,2025,5,
00.1.500.7004,Emendas Parlamentares - Alessandro Guedes,2025,5,
00.1.500.7005,Emendas Parlamentares - Daniel Annenberg,2025,5,
00.1.500.7006,Emendas Parlamentares - Dr. Milton Ferreira,2025,5,
00.1.500.7007,Emendas Parlamentares - André Santos,2025,5,
00.1.500.7008,Emendas Parlamentares - Arselino Tatto,2025,5,
00.1.500.7009,Emendas Parlamentares - Isac Félix,2025,5,
00.1.500.7010,Emendas Parlamentares - Cris Monteiro,2025,5,
00.1.500.7011,Emendas Parlamentares - Danilo do Posto de Saúde,2025,5,
00.1.500.7012,Emendas Parlamentares - Elaine Mineiro,2025,5,
00.1.500.7013,Emendas Parlamentares - Manoel Del Rio,2025,5,
00.1.500.7014,Emendas Parlamentares - Atílio Francisco,2025,5,
00.1.500.7015,Emendas Parlamentares - Ely Teruel,2025,5,
00.1.500.7016,Emendas Parlamentares - George Hato,2025,5,
00.1.500.7017,Emendas Parlamentares - Jair Tatto,2025,5,
00.1.500.7018,Emendas Parlamentares - Fábio Riva,2025,5,
00.1.500.7019,Emendas Parlamentares - Jussara Basso,2025,5,
00.1.500.7020,Emendas Parlamentares - Fernando Holiday,2025,5,
00.1.500.7021,Emendas Parlamentares - Coronel Salles,2025,5,
00.1.500.7022,Emendas Parlamentares - Rodolfo Despachante,2025,5,
00.1.500.7023,Emendas Parlamentares - Janaína Lima,2025,5,
00.1.500.7024,Emendas Parlamentares - Sidney Cruz,2025,5,
00.1.500.7025,Emendas Parlamentares - Roberto Tripoli,2025,5,
00.1.500.7026,Emendas Parlamentares - Luana Alves,2025,5,
00.1.500.7027,Emendas Parlamentares - Luna,2025,5,
00.1.500.7028,Emendas Parlamentares - Marcelo Messias,2025,5,
00.1.500.7029,Emendas Parlamentares - Gilson Barreto,2025,5,
00.1.500.7030,Emendas Parlamentares - Rute Costa,2025,5,
00.1.500.7031,Emendas Parlamentares - João Jorge,2025,5,
00.1.500.7032,Emendas Parlamentares - Edir Sales,2025,5,
00.1.500.7033,Emendas Parlamentares - Milton Leite,2025,5,
00.1.500.7034,Emendas Parlamentares - Dr. Nunes Peixeiro,2025,5,
00.1.500.7035,Emendas Parlamentares - Rinaldi Digilio,2025,5,
00.1.500.7036,Emendas Parlamentares - Marlon Luz,2025,5,
00.1.500.7037,Emendas Parlamentares - Rubinho Nunes,2025,5,
00.1.500.7038,Emendas Parlamentares - Rodrigo Goulart,2025,5,
00.1.500.7039,Emendas Parlamentares - Sandra Santana,2025,5,
00.1.500.7040,Emendas Parlamentares - Camilo Cristofaro Martins,2025,5,
00.1.500.7041,Emendas Parlamentares - Sansão Pereira,2025,5,
00.1.500.7042,Emendas Parlamentares - Aurélio Nomura,2025,5,
00.1.500.7043,Emendas Parlamentares - Celso Giannazi,2025,5,
00.1.500.7044,Emendas Parlamentares - Dra Sandra Tadeu,2025,5,
00.1.500.7045,Emendas Parlamentares - Paulo Frange,2025,5,
00.1.500.7046,Emendas Parlamentares - Adilson Amadeu,2025,5,
00.1.500.7047,Emendas Parlamentares - Silvia Ferraro,2025,5,
00.1.500.7048,Emendas Parlamentares - Senival Moura,2025,5,
00.1.500.7049,Emendas Parlamentares - Toninho Vespoli,2025,5,
00.1.500.7050,Emendas Parlamentares - Hélio Rodrigues,2025,5,
00.1.500.7051,Emendas Parlamentares - Xexéu Tripoli,2025,5,
00.1.500.7052,Emendas Parlamentares - Jorge Wilson Filho,2025,5,
00.1.500.7053,Emendas Parlamentares - Eliseu Gabriel,2025,5,
00.1.500.7054,Emendas Parlamentares - Thammy Miranda,2025,5,
00.1.500.7055,Emendas Parlamentares - Missionário José Olimpio,2025,5,
00.1.500.7056,Emendas Parlamentares - Reis,2025,5,
00.1.500.7057,Emendas Parlamentares - Carlos Alberto Bezerra,2025,5,
00.1.500.7058,Emendas Parlamentares - Antonio Donato,2025,5,
00.1.500.7059,Emendas Parlamentares - Beto do Social,2025,5,
00.1.500.7060,Emendas Parlamentares - Eduardo Suplicy,2025,5,
00.1.500.7061,Emendas Parlamentares - Ricardo Teixeira,2025,5,
00.1.500.7062,Emendas Parlamentares - Armandinho Ferreiro,2025,5,
00.1.500.7063,Emendas Parlamentares - Adriano Santos,2025,5,
00.1.500.7064,Emendas Parlamentares - Waldir Junior,2025,5,
00.1.500.7065,7065 - Emendas Parlamentares - Sonaira Fernandes,2025,5,
00.1.500.7066,7066 - Emendas Parlamentares - Gilberto Nascimento ,2025,5,
00.1.500.7067,Emendas Parlamentares - Adrilles Jorge,2025,5,
00.1.500.7068,Emendas Parlamentares - Amanda Paschoal,2025,5,
00.1.500.7069,Emendas Parlamentares - Amanda Vettorazzo,2025,5,
00.1.500.7070,Emendas Parlamentares - Ana Carolina Oliveira,2025,5,
00.1.500.7071,Emendas Parlamentares - Dheison Silva,2025,5,
00.1.500.7072,Emendas Parlamentares - Dr. Murillo Lima,2025,5,
00.1.500.7073,Emendas Parlamentares - Gabriel Abreu,2025,5,
00.1.500.7074,Emendas Parlamentares - Janaina Paschoal,2025,5,
00.1.500.7075,Emendas Parlamentares - Keit Lima,2025,5,
00.1.500.7076,Emendas Parlamentares - Kenji Ito,2025,5,
00.1.500.7077,Emendas Parlamentares - Lucas Pavanato,2025,5,
00.1.500.7079,Emendas Parlamentares - Marina Bragante,2025,5,
00.1.500.7080,Emendas Parlamentares - Nabil Bonduki,2025,5,
00.1.500.7081,Emendas Parlamentares - Pastora Sandra Alves,2025,5,
00.1.500.7082,Emendas Parlamentares - Renata Falzoni,2025,5,
00.1.500.7083,Emendas Parlamentares - Sargento Nantes,2025,5,
00.1.500.7084,Emendas Parlamentares - Silvão Leite,2025,5,
00.1.500.7085,Emendas Parlamentares - Silvinho Leite,2025,5,
00.1.500.7086,Emendas Parlamentares - Simone Ganem,2025,5,
00.1.500.7087,Emendas Parlamentares - Zoe Martínez,2025,5,
00.1.500.7088,Emendas Parlamentares - André Souza,2025,5,
00.1.500.7999,Ações Governamentais,2025,5,
00.1.500.9001,Recursos não vinculados de Impostos,2025,5,
00.1.500.9003,Recursos de Imposto de Renda Retido na Fonte - IRRF,2025,5,
00.1.500.9004,Demandas do Conselho Participativo,2025,5,
00.1.500.9005,Recursos destinados ao Orçamento Cidadão,2025,5,
00.1.501.0003,Campo de Marte,2025,5,
00.1.501.0004,Recursos do FUMCAD desvinculados,2025,5,
00.1.501.0006,Recursos desvinculados conforme art. 76-B do ADCT,2025,5,
00.1.501.7001,Emendas Parlamentares - Eli Corrêa,2025,5,
00.1.501.7002,Emendas Parlamentares - João Ananias,2025,5,
00.1.501.7003,Emendas Parlamentares - Bombeiro Major Palumbo,2025,5,
00.1.501.7004,Emendas Parlamentares - Alessandro Guedes,2025,5,
00.1.501.7005,Emendas Parlamentares - Daniel Annenberg,2025,5,
00.1.501.7006,Emendas Parlamentares - Dr. Milton Ferreira,2025,5,
00.1.501.7007,Emendas Parlamentares - André Santos,2025,5,
00.1.501.7008,Emendas Parlamentares - Arselino Tatto,2025,5,
00.1.501.7009,Emendas Parlamentares - Isac Félix,2025,5,
00.1.501.7010,Emendas Parlamentares - Cris Monteiro,2025,5,
00.1.501.7011,Emendas Parlamentares - Danilo do Posto de Saúde,2025,5,
00.1.501.7012,Emendas Parlamentares - Elaine Mineiro,2025,5,
