codOrgao,txtDescricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao
01,Autarquia Hospitalar Municipal,10,AUTARQUIA HOSPITALAR MUNICIPAL,5,
02,Hospital do Servidor Público Municipal,04,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5,
03,Instituto de Previdência Municipal de São Paulo,05,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,5,
03,Fundo Previdenciário - FUNPREV,08,FUNDO PREVIDENCIÁRIO - FUNPREV,5,
03,Fundo Financeiro - FUNFIN,09,FUNDO FINANCEIRO - FUNFIN,5,
04,Serviço Funerário do Município de São Paulo,06,SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO,5,
05,Autarquia Hospitalar Municipal Regional Leste,11,Autarquia Hosp. Munic. Regional Leste,5,
05,São Paulo Urbanismo,30,SÃO PAULO URBANISMO,5,
06,Autarquia Hospitalar Municipal Regional Sudeste,12,Autarquia Hosp. Munic. Regional Sudeste,5,
06,São Paulo Turismo,29,SÃO PAULO TURISMO,5,
07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
07,Autarquia Hospitalar Municipal Regional Sul,13,Autarquia Hosp. Munic. Regional Sul,5,
08,Fundo Municipal do Idoso,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
08,Autarquia Municipal de Serviços Auxiliares de Saúde,14,Autarquia Hosp. Munic. Regional Centro-Oeste,5,
09,Câmara Municipal de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
09,Câmara Municipal de São Paulo,18,CÂMARA MUNICIPAL,5,
09,Câmara Municipal de São Paulo,22,Fundo Especial de Despesas da Câmara,5,
10,Tribunal de Contas do Município de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
10,Tribunal de Contas do Município de São Paulo,19,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,5,
10,Tribunal de Contas do Município de São Paulo,23,FUNDO ESPECIAL DE DESPESAS DO TCMSP,5,
11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
12,Secretaria Municipal das Subprefeituras,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
