codPrograma,txtDescricaoPrograma,modifiedMode,usuarioOperacao
0000,Encargos Especiais,5,
0100,"Nascer, Viver e Morrer Bem",5,
0101,Alistamento Militar,5,
0102,Programa Bolsa-Trabalho,5,
0103,Saúde Integral ao Seu Alcance,5,
0104,"Políticas Públicas de Esporte, Lazer e Recreação",5,
0105,Orçamento Participativo,5,
0106,Aperfeiçoamento na Área de Recursos Humanos,5,
0107,Estruturação de Sistema Público de Emprego,5,
0108,Hospital Amigo da Família,5,
0109,Rede Competência SUS-Municipal,5,
0111,Assistência a Moradores em Áreas de Risco,5,
0113,Assistência Alimentar,5,
0114,Assistência Ambulatorial,5,
0116,Assistência e Tratamento do Alcoolismo na Pref. Munic. S.Paulo,5,
0117,Assistência Jurídica a Necessitados e Idosos,5,
0118,Assistência Social Geral,5,
0119,Assistência a Criança e ao Adolescente,5,
0121,Assistência a Pessoas com Deficiência,5,
0122,Atendimento de Primeiros Socorros ao Servidor Público,5,
0124,Gestão Cidadã,5,
0125,Atualiz.Confec. e Encadern. de Mapa Oficial da Cidade - MOC,5,
0127,Benefícios a Servidores Ativos,5,
0128,Benefícios a Servidores Inativos/Pensionistas,5,
0129,Benefícios a Servidores,5,
0130,Capacitação e Aperfeiçoamento de Profissionais,5,
0131,Capacitação e Aperfeiçoamento do Servidor Público,5,
0133,Cobrança da Dívida Ativa,5,
0134,Comunicação,5,
0135,Confecção e Atualização de Mapas de Valores Cadlog-PGV,5,
0136,Programa de Loteamento e Arruamento em Habitação,5,
0139,Controle e Erradicação de Endemias,5,
0140,Controle e Segurança de Tráfego Urbano,5,
0143,Crédito Popular Solidário - Banco do Povo,5,
0144,Defesa Civil - Prevenção e Emergência,5,
0145,Defesa Contra Sinistros,5,
0146,Programa Começar de Novo,5,
0149,Divulgação Oficial,5,
0150,Edificação de Próprios Municipais,5,
0151,Educação a Criança - Creche,5,
0152,Educação Ambiental,5,
0153,Educação Especial,5,
0155,"Eventos Esportivos, de Lazer e Recreação",5,
0156,Empregabilidade,5,
0157,Ensino de Graduação,5,
0158,Ensino Fundamental,5,
0159,Ensino Supletivo e Profissionalizante,5,
0160,Entrega de Avisos e Carnês de Tributos Imobiliários,5,
0161,Entrega de Avisos e Carnês de Tributos Mobiliários,5,
0164,Eventos Internacionais,5,
0165,"Fiscalização Contábil, Financeira e Orçamentária",5,
0166,Formação do Patrimônio do Servidor Municipal,5,
0169,Gestão do Sistema de Informatização,5,
0170,Habitação,5,
0171,Herança Jacente,5,
0172,Iluminação  Pública,5,
0173,Indenização a Servidores Municipais,5,
0174,Indenização por Desligamento Voluntário de Servidores Municipais,5,
0175,Informações Geográficas e Estatísticas,5,
0176,Informatização,5,
0177,Investimento na Área de Informática,5,
