codProjetoAtividade,txtDescricaoProjetoAtividade,modifiedMode,usuarioOperacao
1912,ABADS (Associação Brasileira de Assistência e Desenvolvimento Social),5,
2419,Ações de Desestatização,5,
3010,Projetos de Saúde Oriundos de Recursos de Desestatizações e Parcerias,5,
3011,Projetos de Educação Oriundos de Recursos de Desestatizações e Parcerias,5,
3012,Projetos de Transporte Oriundos de Recursos de Desestatizações e Parcerias,5,
3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,5,
3014,Projetos de Habitação Oriundos de Recursos de Desestatizações e Parcerias,5,
3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,5,
3747,Metrô - Recursos de Alienação de Bens,5,
5411,Projetos de Desestatização,5,
5417,Projetos de Mobilidade Urbana Oriundos de Recursos de Desestatizações e Parcerias,5,
5418,Projetos de Desenvolvimento Urbano Oriundos de Recursos de Desestatizações e Parcerias,5,
6010,Concessão dos Serviços Divisíveis de Limpeza Urbana em Regime Público,5,
6249,Ações de Desenvolvimento Social,5,
6831,Despesas Decorrentes da alienação de ativos,5,
6832,Encargos Referentes a Alienações de Bens,5,
8088,Ações do Núcleo de Desenvolvimento Social,5,
9282,Assistência e Desenvolvimento Social,5,
