codProjetoAtividade,txtDescricaoProjetoAtividade,modifiedMode,usuarioOperacao
0001,Encargos Referentes a Arrecadação e Pagamentos - Tesouro,5,
0002,Encargos Referentes a Pagamentos Devidos - IPREM,5,
0003,Serviço da Dívida Pública - Títulos,5,
0004,Serviço da Dívida Pública Interna,5,
0005,Fundo de Sustentação dos Títulos Públicos Municipais,5,
0006,Encargos Decorrentes de Operações de Crédito por Antecip. da Receita,5,
0007,Serviço da Dívida Pública Externa,5,
0008,Serviço da Dívida Pública Interna - Refinanciamento,5,
0009,Programa de Incentivos Fiscais para a Zona Leste - Lei nº 15.931/13,5,
0010,FUMCAD - Multas Revertidas ao Fundo,5,
0011,Precatórios Pagos com Rendimentos dos Depósitos do Regime Especial,5,
0012,Condenações Judiciais - Créditos de Pequeno Valor,5,
0013,Condenações Judiciais - JUD,5,
0014,Acordos Judiciais e Indenizações Administrativas - JUD,5,
0015,Condenações Judiciais - Créditos de Natureza Alimentar - JUD,5,
0016,Condenações Judiciais - Créditos de Natureza Alimentar - DESAP,5,
0017,Condenações Judiciais - Pagamento de Créditos Superpreferenciais,5,
0018,Condenações Judiciais - PATR,5,
0019,Condenações Judiciais - Créditos de Natureza Alimentar - FISC,5,
0020,Encargos Referentes a Tributos - FISC,5,
0021,Acordos Judiciais ou Administrativos - FISC,5,
0022,Recomposição de Depósitos Judiciais,5,
0029,Despesas Exercícios Anteriores (Dec. n° 40.223/00 e 40.273/01),5,
0030,Acordos Judiciais em Desapropriações,5,
0031,Condenações Judiciais em Desapropriações - E nºs 483 e 485 (-),5,
0032,Condenações Judiciais - Creditos de Natureza Alimentar - PATR,5,
0033,Despesas de Exercícios Anteriores - Of. Circular nº 011/2001/SF-GAB,5,
0034,Condenações Judiciais - Créditos de Natureza Alimentar,5,
0035,Condenações Judiciais - Outras Espécies,5,
0036,Acordos Judiciais ou Administrativos,5,
0037,Condenações Judiciais - Decisão Judicial Processo 0012105-35.2009.8.26.0053,5,
0038,Bloqueios Judiciais,5,
0039,Condenações Judiciais – FUMCAD,5,
0040,Aquisição de Crédito,5,
0041,Instrumento de Acordo de Pagamento - PMSP x Eletropaulo,5,
0042,Despesas de Exercícios Anteriores,5,
0043,Serviço da Dívida Pública Interna - Refinanciamento - Outros Contratos,5,
0044,Despesas de Exercícios Anteriores - Novações,5,
0045,Despesas de Exercícios Anteriores - Compensações,5,
0046,Outras Dívidas,5,
0047,Eficientização Energética - RELUZ,5,
0048,Outras Dívidas - Eletropaulo,5,
0049,Outras Dívidas - SPTrans,5,
0050,Outras Dívidas - CET,5,
0051,Outras Dívidas - EMURB,5,
0052,Aporte do IRRF para cobertura do deficit atuarial do RPPS,5,
0053,Despesas de Exercícios Anteriores - Regularização de Passivos Não Judicializados,5,
0060,Implantação do Programa de Desligamento Voluntário (PDV),5,
0070,Despesas de Exercícios Anteriores,5,
0744,Reforma e Ampliação da UBS Cambuci - E3930,5,
1000,Construção de Edificações da Câmara Municipal de São Paulo,5,
1001,"Ampliação, Reforma e Requalificação de Edificação da Câmara Municipal de São Paulo",5,
