codUnidade,txtDescricaoUnidade,codigoOrgao,descricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao,_codOrgao_consultado
10,Fundo Municipal de Desenvolvimento Social,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
83,Companhia Metropolitana de Habitação de São Paulo,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
91,Fundo Municipal de Habitação,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
10,Fundo Municipal de Desenvolvimento Social,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
83,Companhia Metropolitana de Habitação de São Paulo,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
91,Fundo Municipal de Habitação,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
10,Gabinete do Secretário,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
11,Supervisão Geral de Administração,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
12,Supervisão Geral de Desenvolvimento de Pessoal,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
13,Supervisão Geral de Planejamento e Controle,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
20,Supervisão Regional de Assistência Social de Campo Limpo,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
21,Coordenadoria de Assistência Social - CAS Sudeste,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
22,Coordenadoria de Assistência Social - CAS Leste,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
23,Coordenadoria de Assistência Social - CAS Centro-Oeste,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
24,Coordenadoria de Assistência Social - CAS Sul,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
25,Coordenadoria de Assistência Social - CAS Norte,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
30,Supervisão Regional de Assistência Social da Freguesia do Ó,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
40,Supervisão Regional de Assistência Social de São Miguel Paulista,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
50,Supervisão Regional de Assistência Social da Sé/Lapa,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
60,Supervisão Regional de Assistência Social de Vila Prudente,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
83,Companhia Metropolitana de Habitação de São Paulo,24,Secretaria Municipal de Assistência e Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,24
10,Gabinete do Secretário,40,Secretaria Municipal de Desestatização e Parcerias,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,40
