codUnidade,txtDescricaoUnidade,codigoOrgao,descricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao,_codOrgao_consultado
10,Autarquia Hospitalar Municipal,01,Autarquia Hospitalar Municipal,10,AUTARQUIA HOSPITALAR MUNICIPAL,5,,01
22,Secretaria de Infraestrutura Urbana e Obras,01,Autarquia Hospitalar Municipal,10,AUTARQUIA HOSPITALAR MUNICIPAL,5,,01
84,Fundo Municipal de Saúde,01,Autarquia Hospitalar Municipal,10,AUTARQUIA HOSPITALAR MUNICIPAL,5,,01
10,Hospital do Servidor Público Municipal,02,Hospital do Servidor Público Municipal,04,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5,,02
22,Secretaria Municipal de Infraestrutura e Obras,02,Hospital do Servidor Público Municipal,04,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5,,02
10,Instituto de Previdência Municipal de São Paulo,03,Instituto de Previdência Municipal de São Paulo,05,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,5,,03
20,Fundo Previdenciário - FUNPREV,03,Fundo Previdenciário - FUNPREV,08,FUNDO PREVIDENCIÁRIO - FUNPREV,5,,03
30,Fundo Financeiro - FUNFIN,03,Fundo Financeiro - FUNFIN,09,FUNDO FINANCEIRO - FUNFIN,5,,03
10,Instituto de Previdência Municipal de São Paulo,03,Instituto de Previdência Municipal de São Paulo,05,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,5,,03
20,Fundo Previdenciário - FUNPREV,03,Fundo Previdenciário - FUNPREV,08,FUNDO PREVIDENCIÁRIO - FUNPREV,5,,03
30,Fundo Financeiro - FUNFIN,03,Fundo Financeiro - FUNFIN,09,FUNDO FINANCEIRO - FUNFIN,5,,03
10,Instituto de Previdência Municipal de São Paulo,03,Instituto de Previdência Municipal de São Paulo,05,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,5,,03
20,Fundo Previdenciário - FUNPREV,03,Fundo Previdenciário - FUNPREV,08,FUNDO PREVIDENCIÁRIO - FUNPREV,5,,03
30,Fundo Financeiro - FUNFIN,03,Fundo Financeiro - FUNFIN,09,FUNDO FINANCEIRO - FUNFIN,5,,03
10,Serviço Funerário do Município de São Paulo,04,Serviço Funerário do Município de São Paulo,06,SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO,5,,04
10,Autarquia Hospitalar Municipal Regional Leste,05,Autarquia Hospitalar Municipal Regional Leste,11,Autarquia Hosp. Munic. Regional Leste,5,,05
10,São Paulo Urbanismo,05,São Paulo Urbanismo,30,SÃO PAULO URBANISMO,5,,05
10,Autarquia Hospitalar Municipal Regional Leste,05,Autarquia Hospitalar Municipal Regional Leste,11,Autarquia Hosp. Munic. Regional Leste,5,,05
10,São Paulo Urbanismo,05,São Paulo Urbanismo,30,SÃO PAULO URBANISMO,5,,05
10,Autarquia Hospitalar Municipal Regional Sudeste,06,Autarquia Hospitalar Municipal Regional Sudeste,12,Autarquia Hosp. Munic. Regional Sudeste,5,,06
10,São Paulo Turismo,06,São Paulo Turismo,29,SÃO PAULO TURISMO,5,,06
10,Autarquia Hospitalar Municipal Regional Sudeste,06,Autarquia Hospitalar Municipal Regional Sudeste,12,Autarquia Hosp. Munic. Regional Sudeste,5,,06
10,São Paulo Turismo,06,São Paulo Turismo,29,SÃO PAULO TURISMO,5,,06
10,Fundo Municipal de Desenvolvimento Social,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
10,Autarquia Hospitalar Municipal Regional Sul,07,Autarquia Hospitalar Municipal Regional Sul,13,Autarquia Hosp. Munic. Regional Sul,5,,07
83,Companhia Metropolitana de Habitação de São Paulo,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
91,Fundo Municipal de Habitação,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
10,Fundo Municipal de Desenvolvimento Social,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
10,Autarquia Hospitalar Municipal Regional Sul,07,Autarquia Hospitalar Municipal Regional Sul,13,Autarquia Hosp. Munic. Regional Sul,5,,07
83,Companhia Metropolitana de Habitação de São Paulo,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
91,Fundo Municipal de Habitação,07,Fundo Municipal de Desenvolvimento Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,07
10,Fundo Municipal do Idoso,08,Fundo Municipal do Idoso,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,08
10,Autarquia Municipal de Serviços Auxiliares de Saúde,08,Autarquia Municipal de Serviços Auxiliares de Saúde,14,Autarquia Hosp. Munic. Regional Centro-Oeste,5,,08
10,Fundo Municipal do Idoso,08,Fundo Municipal do Idoso,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,08
10,Autarquia Municipal de Serviços Auxiliares de Saúde,08,Autarquia Municipal de Serviços Auxiliares de Saúde,14,Autarquia Hosp. Munic. Regional Centro-Oeste,5,,08
10,Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,09
10,Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,18,CÂMARA MUNICIPAL,5,,09
20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,09
20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,22,Fundo Especial de Despesas da Câmara,5,,09
10,Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,09
10,Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,18,CÂMARA MUNICIPAL,5,,09
20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,09
20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,22,Fundo Especial de Despesas da Câmara,5,,09
10,Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,09
10,Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,18,CÂMARA MUNICIPAL,5,,09
20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,09
20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,09,Câmara Municipal de São Paulo,22,Fundo Especial de Despesas da Câmara,5,,09
10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,10
10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,19,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,5,,10
20,Fundo Esp. de Desp. do Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,10
20,Fundo Esp. de Desp. do Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,23,FUNDO ESPECIAL DE DESPESAS DO TCMSP,5,,10
10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,10
10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,19,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,5,,10
20,Fundo Esp. de Desp. do Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,10
20,Fundo Esp. de Desp. do Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,23,FUNDO ESPECIAL DE DESPESAS DO TCMSP,5,,10
10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,10
10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,19,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,5,,10
20,Fundo Esp. de Desp. do Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,10
20,Fundo Esp. de Desp. do Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,23,FUNDO ESPECIAL DE DESPESAS DO TCMSP,5,,10
06,Secretaria do Governo Municipal - São Paulo Turismo,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
10,Gabinete do Prefeito,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
13,Secretaria Executiva de Gestão,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
14,Secretaria Executiva de Comunicação,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
20,Gabinete do Secretário,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
28,Administração dos Assuntos do Turismo,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
30,Supervisão Geral da Junta do Serviço Militar,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
50,Administração do Edifício Matarazzo,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
60,Casa Civil,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
70,Administração dos Assuntos do Secretário Especial de Comunicação,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
80,Secretaria Especial de Desburocratização,11,Secretaria do Governo Municipal,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,11
10,Gabinete do Secretário,12,Secretaria Municipal das Subprefeituras,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,12
11,Superintendência das Usinas de Asfalto,12,Secretaria Municipal das Subprefeituras,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,12
12,Supervisão Geral de Transportes Internos,12,Secretaria Municipal das Subprefeituras,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,12
13,Administração da Supervisão de Abastecimento,12,Secretaria Municipal das Subprefeituras,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,12
81,SMSUB/Autoridade Municipal de Limpeza Urbana – AMLURB,12,Secretaria Municipal das Subprefeituras,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,12
10,Gabinete do Secretário,13,Secretaria Municipal de Gestão,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,13
20,Departamento de Informações,13,Secretaria Municipal de Gestão,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,13
30,Departamento de Planejamento e Normatização Territorial,13,Secretaria Municipal de Gestão,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,13
40,Departamento de Economia e Orçamento,13,Secretaria Municipal de Gestão,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,13
10,Gabinete do Secretário,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
20,Departamento do Cadastro Setorial,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
30,Departamento de Parcelamento do Solo e Intervenções Urbanas,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
40,Departamento de Aprovação das Edificações,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
50,Departamento de Controle do Uso de Imóveis,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
60,Superintendência de Habitação Popular,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
70,Departamento de Regularização de Parcelamento do Solo,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
83,Companhia Metropolitana de Habitação de São Paulo,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
90,Secretaria Executiva do Programa Mananciais,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
91,Fundo Municipal de Habitação,14,Secretaria Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,14
10,Gabinete do Secretário,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
