codFonteRecurso,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codPrograma,codProjetoAtividade,codFuncao,codSubFuncao,codCategoria,codGrupo,codModalidade,codElemento,codItemDespesa,codSubElemento,codEmpenho,txtRazaoSocial,numCpfCnpj
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34533,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34546,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34552,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34574,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34577,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34585,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34590,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34599,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34604,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34623,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34625,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34650,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34682,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34704,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34714,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,34728,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3003,5204,10,301,4,4,50,51,0,5,34977,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,61699567000192
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,35817,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,35851,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,35874,TRIADE PAVIMENTACAO E CONSTRUCOES SA,37802710000145
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,35875,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,35895,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,35955,TRIADE PAVIMENTACAO E CONSTRUCOES SA,37802710000145
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36041,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36047,TRIADE PAVIMENTACAO E CONSTRUCOES SA,37802710000145
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36056,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36070,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36071,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36084,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36092,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36115,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36129,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36132,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36138,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36140,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36155,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36505,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36893,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36910,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36924,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,36951,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3003,5204,10,301,4,4,50,51,0,5,37014,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,61699567000192
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,37889,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,37918,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,38347,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,38379,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,38403,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,38589,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,38769,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,38796,TRIADE PAVIMENTACAO E CONSTRUCOES SA,37802710000145
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,38844,TRIADE PAVIMENTACAO E CONSTRUCOES SA,37802710000145
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,39459,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,39466,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,40572,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,40598,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,40724,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,40751,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,40825,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,41437,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,41502,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,43022,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,43247,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,43312,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,43333,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45303,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45310,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45314,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45361,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45382,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45387,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45391,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45400,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45413,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45415,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45585,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45589,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45595,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45597,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45611,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45621,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45623,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45626,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45630,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45633,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45638,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45642,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45645,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,45651,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46275,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46278,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46281,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46285,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46292,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46295,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46297,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46311,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46680,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46685,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46745,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46756,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46757,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,46764,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08.2.759.1224,,,,3003,5204,10,301,4,4,50,51,0,5,51685,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,61699567000273
08.2.759.1224,,,,3003,5204,10,301,4,4,50,51,0,5,52439,CASA DE SAUDE SANTA MARCELINA,60742616000160
08.2.759.1224,,,,3022,1137,15,452,4,4,90,39,1,1,52782,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
